Image,Type
data/img_processed/prudentia_herba_decorus_8fa9e210.jpg,vesta
data/img_processed/salus_concordia_nubes_a8be0a38.jpg,vesta
data/img_processed/tempus_arbor_sapor_b6bf900d.jpg,vesta
data/img_processed/altus_constantia_sapor_93266b7c.jpg,vesta
data/img_processed/bellum_fortis_claritas_59599435.jpg,vesta
data/img_processed/pax_imber_sensus_16ff12e3.jpg,vesta
data/img_processed/sapientia_decorus_sensus_ba5f7944.jpg,vesta
data/img_processed/caelum_mors_anima_9b08ed50.jpg,vesta
data/img_processed/mors_sensus_triumphus_80d8aa97.jpg,vesta
data/img_processed/amor_arbor_formosus_1575a7c8.jpg,vesta
data/img_processed/figura_mors_gloria_9fbf1034.jpg,vesta
data/img_processed/audacia_aer_mors_34b42b26.jpg,vesta
data/img_processed/formosus_spiritus_dignitas_120c9d6f.jpg,vesta
data/img_processed/nubes_luna_caelum_26ab18ea.jpg,vesta
data/img_processed/natura_ratio_caligo_b2524d29.jpg,vesta
data/img_processed/fortis_flamma_nubes_9dd9666a.jpg,vesta
data/img_processed/luna_lux_spes_3ba4df8f.jpg,vesta
data/img_processed/triumphus_flos_fortuna_5165d9de.jpg,vesta
data/img_processed/tempestas_caelum_probitas_1cebacbd.jpg,vesta
data/img_processed/pax_ordo_aqua_8f95340f.jpg,vesta
data/img_processed/tempus_dignitas_furor_d49ed176.jpg,vesta
data/img_processed/terra_voluntas_pax_8b8ddcda.jpg,vesta
data/img_processed/sapientia_memoria_terra_5e4f719a.jpg,vesta
data/img_processed/mors_imber_claritas_0a8b76de.jpg,vesta
data/img_processed/libertas_constantia_sol_aeaabf9b.jpg,vesta
data/img_processed/libertas_victoria_voluntas_163d2dd6.jpg,vesta
data/img_processed/audacia_gloria_pulcher_b3f9013e.jpg,vesta
data/img_processed/imago_sapientia_caligo_2798839c.jpg,vesta
data/img_processed/statera_fides_cor_d53346f7.jpg,vesta
data/img_processed/umbra_pax_caelum_6e39be7f.jpg,vesta
data/img_processed/sol_figura_statera_1d9a023b.jpg,vesta
data/img_processed/aqua_virtus_iustitia_d6c73b54.jpg,vesta
data/img_processed/anima_ratio_fama_a47262f2.jpg,vesta
data/img_processed/oratio_fortis_corpus_a71f1163.jpg,vesta
data/img_processed/virtus_pluvia_iustitia_d97b5cde.jpg,vesta
data/img_processed/bellum_scientia_labor_74c92ad3.jpg,vesta
data/img_processed/decorus_herba_mens_8f23da85.jpg,vesta
data/img_processed/statera_cantus_natura_023bd207.jpg,vesta
data/img_processed/corpus_arbor_umbra_88272a93.jpg,vesta
data/img_processed/memoria_dexteritas_figura_8af061ce.jpg,vesta
